Epoch,Batch,Loss,Accuracy,Time
0.0,100.0,2.6709630990028383,0.2533258056640625,31.510239362716675
0.0,200.0,2.4182334566116332,0.2857049560546875,59.648277282714844
0.0,300.0,2.3311902141571044,0.30982421875,89.63899779319763
0.0,400.0,2.155631935596466,0.355789794921875,118.79341316223145
0.0,500.0,1.931962218284607,0.413221435546875,147.94134783744812
0.0,600.0,1.7228499305248262,0.4694183349609375,176.47177267074585
1.0,100.0,1.3244841182231903,0.5815045166015625,232.74150943756104
1.0,200.0,1.0991762387752533,0.64976318359375,261.8265480995178
1.0,300.0,0.8769377189874649,0.7194903564453125,291.3018264770508
1.0,400.0,0.6911623513698578,0.778609619140625,320.3257567882538
1.0,500.0,0.5348800745606422,0.8292889404296875,349.2483170032501
1.0,600.0,0.4221948200464249,0.866414794921875,378.07254362106323
2.0,100.0,0.2817903983592987,0.912362060546875,434.8623390197754
2.0,200.0,0.24057664170861245,0.9254052734375,463.9825484752655
2.0,300.0,0.20867910027503966,0.935670166015625,493.02382040023804
2.0,400.0,0.1853701351583004,0.942783203125,521.7883858680725
2.0,500.0,0.16848522529006005,0.948160400390625,550.7633037567139
2.0,600.0,0.15636480256915092,0.9518865966796874,580.0809268951416
3.0,100.0,0.13528554797172546,0.9582293701171875,636.9370985031128
3.0,200.0,0.12813389271497727,0.9604071044921875,665.7222852706909
3.0,300.0,0.12298363000154496,0.96201416015625,694.1338858604431
3.0,400.0,0.11711616352200509,0.9637481689453125,723.1609904766083
3.0,500.0,0.11477905243635178,0.9643487548828125,752.0592737197876
3.0,600.0,0.10979150332510472,0.9659674072265625,781.158233165741
